#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
gab.ai,suspend,false,false,"",false
outpoa.st,suspend,false,false,"",false
poa.st,suspend,false,false,"",false
noagendasocial.com,suspend,false,false,"",false
bae.st,suspend,false,false,"",false
kiwifarms.cc,suspend,false,false,"",false
truthsocial.com,suspend,false,false,"",false
truthsocial.st,suspend,false,false,"",false
pawoo.net,suspend,false,false,"",false
qoto.org,suspend,false,false,"",false
search.fedi.app,suspend,false,false,"",false
counter.fedi.live,suspend,false,false,"",false
fedi.app,suspend,false,false,"",false
glindr.org,suspend,false,false,"",false
kiwifarms.is,suspend,false,false,"",false
not-develop.gab.com,suspend,false,false,"",false
paypig.org,suspend,false,false,"",false
freeatlantis.com,suspend,false,false,"",false
freecumextremist.com,suspend,false,false,"",false
shitposter.club,suspend,false,false,"",false
freespeechextremist.com,suspend,false,false,"",false
ligma.pro,suspend,false,false,"",false
mobile.tmediatech.io,suspend,false,false,"",false
nazi.social,suspend,false,false,"",false
neckbeard.xyz,suspend,false,false,"",false
gabfed.com,suspend,false,false,"",false
baraag.net,suspend,false,false,"",false
posting.lolicon.rocks,suspend,false,false,"",false
rapefeminists.network,suspend,false,false,"",true
shitpost.cloud,suspend,false,false,"",false
preteengirls.biz,suspend,false,false,"",true
pedo.school,suspend,false,false,"",true
chudbuds.lol,suspend,false,false,"",false
nicecrew.digital,suspend,false,false,"",false
quey.org,suspend,false,false,"",false
bittube.video,suspend,false,false,"",false
blacksun.social,suspend,false,false,"",false
buildthatwallandmakeamericagreatagain.trumpislovetrumpis.life,suspend,false,false,"",false
brands.town,silence,true,false,"",false
cum.salon,suspend,false,false,"",false
brighteon.social,suspend,false,false,"",false
catgirl.life,suspend,false,false,"",false
beefyboys.win,suspend,false,false,"",false
cawfee.club,suspend,false,false,"",false
detroitriotcity.com,suspend,false,false,"",false
gleasonator.com,suspend,false,false,"",false
anime.website,suspend,false,false,"",false
leafposter.club,suspend,false,false,"",false
liberdon.com,suspend,false,false,"",false
80percent.social,suspend,false,false,"",false
develop.gab.com,suspend,false,false,"",false
freespeechextremist.xyz,suspend,false,false,"",false
gab.com,suspend,false,false,"",false
gab.io,suspend,false,false,"",false
